               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.026931,            0.010312,            0.017897,             0.50558,             0.77434,             0.65196,             0.49278,            0.024449,           0.0041787,            0.018434,              0.0037,              0.0037,              0.0037
                 107,            0.026173,            0.010926,            0.017556,             0.52186,             0.73846,             0.66508,             0.50493,             0.02469,           0.0040539,             0.01874,             0.00364,             0.00364,             0.00364
                 108,            0.024872,            0.010572,            0.017935,             0.50177,             0.75955,              0.6717,              0.4995,            0.023825,           0.0041096,            0.018126,             0.00358,             0.00358,             0.00358
                 109,            0.025145,            0.010546,            0.017355,               0.462,             0.72968,             0.66293,             0.50962,            0.024223,           0.0039732,            0.017955,             0.00352,             0.00352,             0.00352
                 110,            0.025332,            0.010494,            0.016966,             0.57374,             0.67706,             0.69125,               0.515,            0.024019,           0.0039438,            0.018012,             0.00346,             0.00346,             0.00346
                 111,            0.025863,           0.0099651,            0.017147,             0.51989,             0.70867,             0.68503,             0.50827,             0.02413,           0.0039955,            0.018347,              0.0034,              0.0034,              0.0034
                 112,            0.025092,            0.010554,            0.017309,             0.54168,             0.72047,             0.69796,             0.51771,            0.024199,           0.0039128,            0.019268,             0.00334,             0.00334,             0.00334
                 113,            0.026684,            0.011002,            0.017164,             0.54463,             0.68848,             0.69817,             0.53023,            0.023277,           0.0039276,            0.019354,             0.00328,             0.00328,             0.00328
                 114,            0.025854,            0.010259,            0.016966,             0.48316,              0.7568,             0.67333,             0.50829,            0.023577,           0.0039267,            0.017305,             0.00322,             0.00322,             0.00322
                 115,            0.025522,            0.010348,            0.016547,             0.54853,             0.67396,             0.68239,             0.51728,            0.023364,           0.0040432,            0.018939,             0.00316,             0.00316,             0.00316
                 116,            0.024419,           0.0098948,            0.016674,             0.59917,             0.66084,             0.69046,             0.51674,            0.023103,           0.0039381,             0.01716,              0.0031,              0.0031,              0.0031
